Wave number:0
1530117128144,1530117128440,81
1530117131207,1530117131542,81
1530117132116,1530117132376,81
1530117134037,1530117134164,81
1530117136262,1530117136552,81
1530117128418,1530117128726,87
1530117131530,1530117131746,87
1530117132340,1530117132590,87
1530117133025,1530117133190,87
1530117133347,1530117133592,87
1530117136515,1530117136809,87
1530117128744,1530117128991,69
1530117134742,1530117134919,69
1530117135402,1530117135569,69
1530117135690,1530117135868,69
1530117136773,1530117136955,69
1530117129519,1530117129690,82
1530117130284,1530117130430,82
1530117130627,1530117130792,82
1530117134505,1530117134645,82
1530117137032,1530117137201,82
1530117137602,1530117137744,82
1530117138020,1530117138160,82
1530117134206,1530117134367,84
