Wave number:0
1529790878525,1529790878626,90
1529790878648,1529790878717,88
1529790878730,1529790878790,67
1529790878796,1529790878861,86
1529790878867,1529790878926,66
1529790878937,1529790879036,78
1529790879060,1529790879219,77
1529790854476,1529790854719,81
1529790858603,1529790858764,81
1529790860386,1529790860559,81
1529790862107,1529790862249,81
1529790862632,1529790862795,81
1529790863959,1529790864149,81
1529790865971,1529790866112,81
1529790868079,1529790868206,81
1529790869001,1529790869157,81
1529790869800,1529790869896,81
1529790870143,1529790870251,81
1529790870755,1529790870909,81
1529790872784,1529790872902,81
1529790873344,1529790873456,81
1529790874739,1529790874840,81
1529790876564,1529790876680,81
1529790880927,1529790881048,81
1529790852446,1529790853788,87
1529790854603,1529790854936,87
1529790856364,1529790856576,87
1529790858825,1529790859007,87
1529790860586,1529790860826,87
1529790862377,1529790862499,87
1529790862901,1529790863035,87
1529790863344,1529790863463,87
1529790863597,1529790863727,87
1529790864202,1529790864448,87
1529790866277,1529790866428,87
1529790868386,1529790868501,87
1529790869306,1529790869444,87
1529790870991,1529790871159,87
1529790873080,1529790873161,87
1529790873612,1529790873704,87
1529790874091,1529790874203,87
1529790874373,1529790874492,87
1529790876787,1529790876974,87
1529790880750,1529790880898,87
1529790851010,1529790851124,69
1529790851869,1529790854033,69
1529790854900,1529790855279,69
1529790855546,1529790855640,69
1529790855777,1529790855891,69
1529790856014,1529790856128,69
1529790856579,1529790856978,69
1529790859067,1529790859172,69
1529790860816,1529790860967,69
1529790864464,1529790864651,69
1529790866623,1529790866742,69
1529790871274,1529790871395,69
1529790875487,1529790875595,69
1529790875918,1529790875980,69
1529790876157,1529790876257,69
1529790877001,1529790877132,69
1529790880615,1529790880746,69
1529790857131,1529790857438,82
1529790857654,1529790857736,82
1529790857877,1529790857966,82
1529790858108,1529790858201,82
1529790859329,1529790859427,82
1529790859806,1529790859884,82
1529790860006,1529790860095,82
1529790861088,1529790861219,82
1529790861506,1529790861577,82
1529790861724,1529790861809,82
1529790864784,1529790864934,82
1529790865375,1529790865509,82
1529790866916,1529790867021,82
1529790867407,1529790867485,82
1529790867662,1529790867757,82
1529790871546,1529790871643,82
1529790872000,1529790872084,82
1529790872278,1529790872360,82
1529790875215,1529790875296,82
1529790877270,1529790877378,82
1529790877714,1529790877795,82
1529790877948,1529790878013,82
1529790880517,1529790880611,82
1529790875004,1529790875111,84
1529790880453,1529790880512,84
1529790849951,1529790850029,89
1529790850258,1529790850307,89
1529790850370,1529790850503,89
1529790850713,1529790850804,89
1529790850920,1529790850979,89
1529790851205,1529790851283,89
1529790851434,1529790851513,89
1529790851649,1529790851691,89
1529790851888,1529790854079,89
1529790880397,1529790880447,89
1529790849713,1529790849813,85
1529790880311,1529790880394,85
1529790849422,1529790849564,73
1529790880181,1529790880314,73
1529790848898,1529790849041,79
1529790848429,1529790848897,80
